Entity,Code,Date,daily_vaccinations_per_million
Alabama,,2021-01-13,1205
Alabama,,2021-01-14,1445
Alabama,,2021-01-15,1525
Alabama,,2021-01-16,1529
Alabama,,2021-01-17,1531
Alabama,,2021-01-18,1533
Alabama,,2021-01-19,1534
Alabama,,2021-01-20,1607
Alabama,,2021-01-21,2145
Alabama,,2021-01-22,2877
Alabama,,2021-01-23,3304
Alabama,,2021-01-24,3731
Alabama,,2021-01-25,3711
Alabama,,2021-01-26,3618
Alabama,,2021-01-27,3707
Alabama,,2021-01-28,3294
Alabama,,2021-01-29,2960
Alabama,,2021-01-30,3522
Alabama,,2021-01-31,3212
Alabama,,2021-02-01,3137
Alabama,,2021-02-02,3407
Alabama,,2021-02-03,3552
Alabama,,2021-02-04,3771
Alabama,,2021-02-05,3778
Alabama,,2021-02-06,3285
Alabama,,2021-02-07,3157
Alabama,,2021-02-08,3186
Alabama,,2021-02-09,3470
Alabama,,2021-02-10,3714
Alabama,,2021-02-11,3928
Alabama,,2021-02-12,4094
Alabama,,2021-02-13,4253
Alabama,,2021-02-14,4368
Alabama,,2021-02-15,4569
Alabama,,2021-02-16,4245
Alabama,,2021-02-17,3911
Alabama,,2021-02-18,3753
Alabama,,2021-02-19,4895
Alabama,,2021-02-20,5121
Alabama,,2021-02-21,5138
Alabama,,2021-02-22,4928
Alabama,,2021-02-23,5198
Alabama,,2021-02-24,5527
Alabama,,2021-02-25,5615
Alabama,,2021-02-26,4508
Alabama,,2021-02-27,4491
Alabama,,2021-02-28,4484
Alabama,,2021-03-01,4510
Alabama,,2021-03-02,4576
Alabama,,2021-03-03,4671
Alabama,,2021-03-04,4878
Alabama,,2021-03-05,4974
Alabama,,2021-03-06,4913
Alaska,,2021-01-13,3885
Alaska,,2021-01-14,4619
Alaska,,2021-01-15,6015
Alaska,,2021-01-16,5989
Alaska,,2021-01-17,5972
Alaska,,2021-01-18,5963
Alaska,,2021-01-19,5955
Alaska,,2021-01-20,5782
Alaska,,2021-01-21,5724
Alaska,,2021-01-22,6261
Alaska,,2021-01-23,6831
Alaska,,2021-01-24,7142
Alaska,,2021-01-25,6839
Alaska,,2021-01-26,6213
Alaska,,2021-01-27,6504
Alaska,,2021-01-28,6630
Alaska,,2021-01-29,5722
Alaska,,2021-01-30,5257
Alaska,,2021-01-31,4947
Alaska,,2021-02-01,4880
Alaska,,2021-02-02,4939
Alaska,,2021-02-03,4720
Alaska,,2021-02-04,4702
Alaska,,2021-02-05,4609
Alaska,,2021-02-06,4663
Alaska,,2021-02-07,5174
Alaska,,2021-02-08,5647
Alaska,,2021-02-09,5747
Alaska,,2021-02-10,5955
Alaska,,2021-02-11,6315
Alaska,,2021-02-12,6529
Alaska,,2021-02-13,7029
Alaska,,2021-02-14,7372
Alaska,,2021-02-15,7125
Alaska,,2021-02-16,7447
Alaska,,2021-02-17,7296
Alaska,,2021-02-18,7201
Alaska,,2021-02-19,9528
Alaska,,2021-02-20,10206
Alaska,,2021-02-21,10020
Alaska,,2021-02-22,9932
Alaska,,2021-02-23,9552
Alaska,,2021-02-24,9771
Alaska,,2021-02-25,9844
Alaska,,2021-02-26,7442
Alaska,,2021-02-27,6276
Alaska,,2021-02-28,5781
Alaska,,2021-03-01,5883
Alaska,,2021-03-02,5862
Alaska,,2021-03-03,5800
Alaska,,2021-03-04,5338
Alaska,,2021-03-05,5298
Alaska,,2021-03-06,5680
American Samoa,ASM,2021-01-13,8134
American Samoa,ASM,2021-01-14,7614
American Samoa,ASM,2021-01-15,10523
American Samoa,ASM,2021-01-16,8871
American Samoa,ASM,2021-01-17,7883
American Samoa,ASM,2021-01-18,7219
American Samoa,ASM,2021-01-19,6752
American Samoa,ASM,2021-01-20,7021
American Samoa,ASM,2021-01-21,6913
American Samoa,ASM,2021-01-22,6895
American Samoa,ASM,2021-01-23,7003
American Samoa,ASM,2021-01-24,9553
American Samoa,ASM,2021-01-25,8996
American Samoa,ASM,2021-01-26,9122
American Samoa,ASM,2021-01-27,9679
American Samoa,ASM,2021-01-28,8781
American Samoa,ASM,2021-01-29,8601
American Samoa,ASM,2021-01-30,7937
American Samoa,ASM,2021-01-31,4812
American Samoa,ASM,2021-02-01,6967
American Samoa,ASM,2021-02-02,6267
American Samoa,ASM,2021-02-03,5082
American Samoa,ASM,2021-02-04,5567
American Samoa,ASM,2021-02-05,5405
American Samoa,ASM,2021-02-06,5980
American Samoa,ASM,2021-02-07,5980
American Samoa,ASM,2021-02-08,3843
American Samoa,ASM,2021-02-09,4920
American Samoa,ASM,2021-02-10,5782
American Samoa,ASM,2021-02-11,5782
American Samoa,ASM,2021-02-12,7703
American Samoa,ASM,2021-02-13,8009
American Samoa,ASM,2021-02-14,8009
American Samoa,ASM,2021-02-15,8943
American Samoa,ASM,2021-02-16,8799
American Samoa,ASM,2021-02-17,7578
American Samoa,ASM,2021-02-18,7075
American Samoa,ASM,2021-02-19,3178
American Samoa,ASM,2021-02-20,6051
American Samoa,ASM,2021-02-21,8709
American Samoa,ASM,2021-02-22,7883
American Samoa,ASM,2021-02-23,6949
American Samoa,ASM,2021-02-24,8907
American Samoa,ASM,2021-02-25,8907
American Samoa,ASM,2021-02-26,10433
American Samoa,ASM,2021-02-27,6662
American Samoa,ASM,2021-02-28,4004
American Samoa,ASM,2021-03-01,3897
American Samoa,ASM,2021-03-02,5800
American Samoa,ASM,2021-03-03,3430
American Samoa,ASM,2021-03-04,4830
American Samoa,ASM,2021-03-05,3304
American Samoa,ASM,2021-03-06,3304
Arizona,,2021-01-13,1840
Arizona,,2021-01-14,2219
Arizona,,2021-01-15,2552
Arizona,,2021-01-16,2508
Arizona,,2021-01-17,2482
Arizona,,2021-01-18,2464
Arizona,,2021-01-19,2452
Arizona,,2021-01-20,2495
Arizona,,2021-01-21,2556
Arizona,,2021-01-22,2596
Arizona,,2021-01-23,2877
Arizona,,2021-01-24,3120
Arizona,,2021-01-25,3232
Arizona,,2021-01-26,3231
Arizona,,2021-01-27,3462
Arizona,,2021-01-28,3597
Arizona,,2021-01-29,3763
Arizona,,2021-01-30,3855
Arizona,,2021-01-31,3994
Arizona,,2021-02-01,4062
Arizona,,2021-02-02,3940
Arizona,,2021-02-03,3882
Arizona,,2021-02-04,3905
Arizona,,2021-02-05,3893
Arizona,,2021-02-06,4110
Arizona,,2021-02-07,4222
Arizona,,2021-02-08,4326
Arizona,,2021-02-09,4556
Arizona,,2021-02-10,4744
Arizona,,2021-02-11,5014
Arizona,,2021-02-12,5316
Arizona,,2021-02-13,5382
Arizona,,2021-02-14,5494
Arizona,,2021-02-15,5512
Arizona,,2021-02-16,5707
Arizona,,2021-02-17,5243
Arizona,,2021-02-18,5126
Arizona,,2021-02-19,7578
Arizona,,2021-02-20,7542
Arizona,,2021-02-21,7468
Arizona,,2021-02-22,7551
Arizona,,2021-02-23,7286
Arizona,,2021-02-24,7675
Arizona,,2021-02-25,7944
Arizona,,2021-02-26,5788
Arizona,,2021-02-27,5946
Arizona,,2021-02-28,6335
Arizona,,2021-03-01,6726
Arizona,,2021-03-02,7143
Arizona,,2021-03-03,7361
Arizona,,2021-03-04,7309
Arizona,,2021-03-05,7210
Arizona,,2021-03-06,6192
Arkansas,,2021-01-13,17886
Arkansas,,2021-01-14,11173
Arkansas,,2021-01-15,8556
Arkansas,,2021-01-16,6914
Arkansas,,2021-01-17,5929
Arkansas,,2021-01-18,5272
Arkansas,,2021-01-19,4803
Arkansas,,2021-01-20,3714
Arkansas,,2021-01-21,3077
Arkansas,,2021-01-22,3945
Arkansas,,2021-01-23,3661
Arkansas,,2021-01-24,3972
Arkansas,,2021-01-25,4012
Arkansas,,2021-01-26,4448
Arkansas,,2021-01-27,3764
Arkansas,,2021-01-28,3764
Arkansas,,2021-01-29,3234
Arkansas,,2021-01-30,4117
Arkansas,,2021-01-31,4239
Arkansas,,2021-02-01,4267
Arkansas,,2021-02-02,3701
Arkansas,,2021-02-03,3296
Arkansas,,2021-02-04,4043
Arkansas,,2021-02-05,3843
Arkansas,,2021-02-06,4072
Arkansas,,2021-02-07,4244
Arkansas,,2021-02-08,4281
Arkansas,,2021-02-09,4244
Arkansas,,2021-02-10,4526
Arkansas,,2021-02-11,4382
Arkansas,,2021-02-12,4543
Arkansas,,2021-02-13,3915
Arkansas,,2021-02-14,3744
Arkansas,,2021-02-15,3613
Arkansas,,2021-02-16,3754
Arkansas,,2021-02-17,3261
Arkansas,,2021-02-18,2837
Arkansas,,2021-02-19,3320
Arkansas,,2021-02-20,3007
Arkansas,,2021-02-21,2648
Arkansas,,2021-02-22,2719
Arkansas,,2021-02-23,2687
Arkansas,,2021-02-24,3196
Arkansas,,2021-02-25,3873
Arkansas,,2021-02-26,3821
Arkansas,,2021-02-27,4817
Arkansas,,2021-02-28,5720
Arkansas,,2021-03-01,5972
Arkansas,,2021-03-02,6183
Arkansas,,2021-03-03,6294
Arkansas,,2021-03-04,6240
Arkansas,,2021-03-05,5954
Arkansas,,2021-03-06,5750
California,,2021-01-13,1903
California,,2021-01-14,2012
California,,2021-01-15,2165
California,,2021-01-16,2237
California,,2021-01-17,2280
California,,2021-01-18,2308
California,,2021-01-19,2329
California,,2021-01-20,2317
California,,2021-01-21,2381
California,,2021-01-22,2642
California,,2021-01-23,3031
California,,2021-01-24,3374
California,,2021-01-25,3496
California,,2021-01-26,3565
California,,2021-01-27,3787
California,,2021-01-28,4024
California,,2021-01-29,4002
California,,2021-01-30,3932
California,,2021-01-31,3924
California,,2021-02-01,4059
California,,2021-02-02,3967
California,,2021-02-03,3947
California,,2021-02-04,3532
California,,2021-02-05,3652
California,,2021-02-06,3767
California,,2021-02-07,4338
California,,2021-02-08,4446
California,,2021-02-09,4486
California,,2021-02-10,4649
California,,2021-02-11,5102
California,,2021-02-12,5136
California,,2021-02-13,5152
California,,2021-02-14,4828
California,,2021-02-15,4819
California,,2021-02-16,5158
California,,2021-02-17,4938
California,,2021-02-18,4922
California,,2021-02-19,5870
California,,2021-02-20,5926
California,,2021-02-21,5904
California,,2021-02-22,5745
California,,2021-02-23,5485
California,,2021-02-24,5615
California,,2021-02-25,5669
California,,2021-02-26,4868
California,,2021-02-27,4934
California,,2021-02-28,4944
California,,2021-03-01,5428
California,,2021-03-02,6396
California,,2021-03-03,6707
California,,2021-03-04,6494
California,,2021-03-05,6365
California,,2021-03-06,6683
Colorado,,2021-01-13,2646
Colorado,,2021-01-14,2629
Colorado,,2021-01-15,2767
Colorado,,2021-01-16,2705
Colorado,,2021-01-17,2668
Colorado,,2021-01-18,2644
Colorado,,2021-01-19,2626
Colorado,,2021-01-20,2500
Colorado,,2021-01-21,2443
Colorado,,2021-01-22,2606
Colorado,,2021-01-23,2246
Colorado,,2021-01-24,3305
Colorado,,2021-01-25,3277
Colorado,,2021-01-26,3162
Colorado,,2021-01-27,3326
Colorado,,2021-01-28,3535
Colorado,,2021-01-29,3587
Colorado,,2021-01-30,4169
Colorado,,2021-01-31,3342
Colorado,,2021-02-01,3520
Colorado,,2021-02-02,3562
Colorado,,2021-02-03,3537
Colorado,,2021-02-04,3553
Colorado,,2021-02-05,3469
Colorado,,2021-02-06,3709
Colorado,,2021-02-07,3986
Colorado,,2021-02-08,4023
Colorado,,2021-02-09,3875
Colorado,,2021-02-10,4215
Colorado,,2021-02-11,4371
Colorado,,2021-02-12,4538
Colorado,,2021-02-13,4731
Colorado,,2021-02-14,4885
Colorado,,2021-02-15,5253
Colorado,,2021-02-16,6029
Colorado,,2021-02-17,5882
Colorado,,2021-02-18,5902
Colorado,,2021-02-19,7140
Colorado,,2021-02-20,7003
Colorado,,2021-02-21,6831
Colorado,,2021-02-22,6648
Colorado,,2021-02-23,5777
Colorado,,2021-02-24,6056
Colorado,,2021-02-25,5983
Colorado,,2021-02-26,4732
Colorado,,2021-02-27,3890
Colorado,,2021-02-28,4203
Colorado,,2021-03-01,4495
Colorado,,2021-03-02,4847
Colorado,,2021-03-03,4806
Colorado,,2021-03-04,4978
Colorado,,2021-03-05,5102
Colorado,,2021-03-06,6337
Connecticut,,2021-01-13,2939
Connecticut,,2021-01-14,2875
Connecticut,,2021-01-15,3223
Connecticut,,2021-01-16,3182
Connecticut,,2021-01-17,3158
Connecticut,,2021-01-18,3142
Connecticut,,2021-01-19,3130
Connecticut,,2021-01-20,3256
Connecticut,,2021-01-21,3719
Connecticut,,2021-01-22,4070
Connecticut,,2021-01-23,4408
Connecticut,,2021-01-24,4570
Connecticut,,2021-01-25,4514
Connecticut,,2021-01-26,4533
Connecticut,,2021-01-27,4722
Connecticut,,2021-01-28,4666
Connecticut,,2021-01-29,4645
Connecticut,,2021-01-30,4584
Connecticut,,2021-01-31,4612
Connecticut,,2021-02-01,4728
Connecticut,,2021-02-02,4546
Connecticut,,2021-02-03,4168
Connecticut,,2021-02-04,4034
Connecticut,,2021-02-05,3966
Connecticut,,2021-02-06,3935
Connecticut,,2021-02-07,3891
Connecticut,,2021-02-08,3733
Connecticut,,2021-02-09,3936
Connecticut,,2021-02-10,4397
Connecticut,,2021-02-11,4745
Connecticut,,2021-02-12,4982
Connecticut,,2021-02-13,5424
Connecticut,,2021-02-14,5640
Connecticut,,2021-02-15,6031
Connecticut,,2021-02-16,6284
Connecticut,,2021-02-17,6549
Connecticut,,2021-02-18,6689
Connecticut,,2021-02-19,7851
Connecticut,,2021-02-20,7735
Connecticut,,2021-02-21,7446
Connecticut,,2021-02-22,7607
Connecticut,,2021-02-23,7282
Connecticut,,2021-02-24,6966
Connecticut,,2021-02-25,6361
Connecticut,,2021-02-26,5271
Connecticut,,2021-02-27,5305
Connecticut,,2021-02-28,5767
Connecticut,,2021-03-01,5951
Connecticut,,2021-03-02,5901
Connecticut,,2021-03-03,5984
Connecticut,,2021-03-04,6466
Connecticut,,2021-03-05,6706
Connecticut,,2021-03-06,7088
Delaware,,2021-01-13,2057
Delaware,,2021-01-14,2403
Delaware,,2021-01-15,1602
Delaware,,2021-01-16,1938
Delaware,,2021-01-17,2139
Delaware,,2021-01-18,2273
Delaware,,2021-01-19,2369
Delaware,,2021-01-20,2527
Delaware,,2021-01-21,2681
Delaware,,2021-01-22,3399
Delaware,,2021-01-23,3824
Delaware,,2021-01-24,4014
Delaware,,2021-01-25,3994
Delaware,,2021-01-26,3807
Delaware,,2021-01-27,4666
Delaware,,2021-01-28,4830
Delaware,,2021-01-29,4847
Delaware,,2021-01-30,4766
Delaware,,2021-01-31,5248
Delaware,,2021-02-01,5250
Delaware,,2021-02-02,5174
Delaware,,2021-02-03,4415
Delaware,,2021-02-04,4181
Delaware,,2021-02-05,3951
Delaware,,2021-02-06,3809
Delaware,,2021-02-07,3443
Delaware,,2021-02-08,3514
Delaware,,2021-02-09,3484
Delaware,,2021-02-10,3312
Delaware,,2021-02-11,3314
Delaware,,2021-02-12,3281
Delaware,,2021-02-13,3466
Delaware,,2021-02-14,3376
Delaware,,2021-02-15,3340
Delaware,,2021-02-16,3648
Delaware,,2021-02-17,3667
Delaware,,2021-02-18,3884
Delaware,,2021-02-19,5680
Delaware,,2021-02-20,5648
Delaware,,2021-02-21,5062
Delaware,,2021-02-22,5060
Delaware,,2021-02-23,5022
Delaware,,2021-02-24,5095
Delaware,,2021-02-25,5235
Delaware,,2021-02-26,4172
Delaware,,2021-02-27,4715
Delaware,,2021-02-28,5630
Delaware,,2021-03-01,6085
Delaware,,2021-03-02,5692
Delaware,,2021-03-03,7017
Delaware,,2021-03-04,7432
Delaware,,2021-03-05,7524
Delaware,,2021-03-06,7609
District of Columbia,,2021-01-13,4587
District of Columbia,,2021-01-14,4866
District of Columbia,,2021-01-15,4781
District of Columbia,,2021-01-16,4476
District of Columbia,,2021-01-17,4293
District of Columbia,,2021-01-18,4171
District of Columbia,,2021-01-19,4084
District of Columbia,,2021-01-20,3782
District of Columbia,,2021-01-21,3731
District of Columbia,,2021-01-22,3428
District of Columbia,,2021-01-23,3511
District of Columbia,,2021-01-24,3528
District of Columbia,,2021-01-25,3384
District of Columbia,,2021-01-26,2988
District of Columbia,,2021-01-27,3310
District of Columbia,,2021-01-28,3184
District of Columbia,,2021-01-29,3333
District of Columbia,,2021-01-30,3416
District of Columbia,,2021-01-31,3671
District of Columbia,,2021-02-01,3710
District of Columbia,,2021-02-02,3806
District of Columbia,,2021-02-03,3437
District of Columbia,,2021-02-04,4707
District of Columbia,,2021-02-05,5169
District of Columbia,,2021-02-06,5134
District of Columbia,,2021-02-07,5119
District of Columbia,,2021-02-08,5254
District of Columbia,,2021-02-09,5044
District of Columbia,,2021-02-10,4738
District of Columbia,,2021-02-11,3568
District of Columbia,,2021-02-12,3086
District of Columbia,,2021-02-13,2881
District of Columbia,,2021-02-14,3136
District of Columbia,,2021-02-15,3123
District of Columbia,,2021-02-16,3649
District of Columbia,,2021-02-17,4045
District of Columbia,,2021-02-18,3789
District of Columbia,,2021-02-19,8704
District of Columbia,,2021-02-20,8781
District of Columbia,,2021-02-21,8373
District of Columbia,,2021-02-22,8157
District of Columbia,,2021-02-23,8142
District of Columbia,,2021-02-24,8478
District of Columbia,,2021-02-25,8622
District of Columbia,,2021-02-26,3833
District of Columbia,,2021-02-27,5083
District of Columbia,,2021-02-28,6492
District of Columbia,,2021-03-01,6849
District of Columbia,,2021-03-02,6576
District of Columbia,,2021-03-03,6426
District of Columbia,,2021-03-04,6961
District of Columbia,,2021-03-05,7225
District of Columbia,,2021-03-06,7265
Federated States of Micronesia,,2021-01-13,1360
Federated States of Micronesia,,2021-01-14,868
Federated States of Micronesia,,2021-01-15,868
Federated States of Micronesia,,2021-01-16,1100
Federated States of Micronesia,,2021-01-17,1235
Federated States of Micronesia,,2021-01-18,1331
Federated States of Micronesia,,2021-01-19,1399
Federated States of Micronesia,,2021-01-20,1640
Federated States of Micronesia,,2021-01-21,2045
Federated States of Micronesia,,2021-01-22,2509
Federated States of Micronesia,,2021-01-23,2586
Federated States of Micronesia,,2021-01-24,2325
Federated States of Micronesia,,2021-01-25,2074
Federated States of Micronesia,,2021-01-26,2123
Federated States of Micronesia,,2021-01-27,2045
Federated States of Micronesia,,2021-01-28,1949
Federated States of Micronesia,,2021-01-29,1997
Federated States of Micronesia,,2021-01-30,1669
Federated States of Micronesia,,2021-01-31,1669
Federated States of Micronesia,,2021-02-01,3242
Federated States of Micronesia,,2021-02-02,3792
Federated States of Micronesia,,2021-02-03,4149
Federated States of Micronesia,,2021-02-04,4409
Federated States of Micronesia,,2021-02-05,4187
Federated States of Micronesia,,2021-02-06,4641
Federated States of Micronesia,,2021-02-07,4757
Federated States of Micronesia,,2021-02-08,3223
Federated States of Micronesia,,2021-02-09,2759
Federated States of Micronesia,,2021-02-10,2431
Federated States of Micronesia,,2021-02-11,2296
Federated States of Micronesia,,2021-02-12,2402
Federated States of Micronesia,,2021-02-13,2615
Federated States of Micronesia,,2021-02-14,2759
Federated States of Micronesia,,2021-02-15,3097
Federated States of Micronesia,,2021-02-16,3107
Federated States of Micronesia,,2021-02-17,3560
Federated States of Micronesia,,2021-02-18,3792
Federated States of Micronesia,,2021-02-19,3917
Federated States of Micronesia,,2021-02-20,3252
Federated States of Micronesia,,2021-02-21,3830
Federated States of Micronesia,,2021-02-22,3445
Federated States of Micronesia,,2021-02-23,3059
Federated States of Micronesia,,2021-02-24,3300
Federated States of Micronesia,,2021-02-25,3030
Federated States of Micronesia,,2021-02-26,3068
Federated States of Micronesia,,2021-02-27,3763
Federated States of Micronesia,,2021-02-28,3473
Federated States of Micronesia,,2021-03-01,3898
Federated States of Micronesia,,2021-03-02,4834
Federated States of Micronesia,,2021-03-03,4400
Federated States of Micronesia,,2021-03-04,4487
Federated States of Micronesia,,2021-03-05,4516
Federated States of Micronesia,,2021-03-06,4554
Florida,,2021-01-13,3350
Florida,,2021-01-14,3283
Florida,,2021-01-15,3409
Florida,,2021-01-16,3492
Florida,,2021-01-17,3543
Florida,,2021-01-18,3576
Florida,,2021-01-19,3600
Florida,,2021-01-20,3556
Florida,,2021-01-21,3096
Florida,,2021-01-22,3068
Florida,,2021-01-23,3695
Florida,,2021-01-24,3531
Florida,,2021-01-25,2997
Florida,,2021-01-26,2666
Florida,,2021-01-27,2611
Florida,,2021-01-28,3108
Florida,,2021-01-29,3205
Florida,,2021-01-30,2669
Florida,,2021-01-31,2759
Florida,,2021-02-01,3064
Florida,,2021-02-02,3144
Florida,,2021-02-03,3330
Florida,,2021-02-04,3435
Florida,,2021-02-05,3090
Florida,,2021-02-06,3297
Florida,,2021-02-07,4309
Florida,,2021-02-08,4005
